Nome;sample_name;Substance;tested_date;published_date;location;Latitude;Longitude
3008;Yellow Leux;TFMPP;Dec 13 2013;Dec 13 2013;San Diego, CA;32.715;-117.257
3009;Blue Armani;MDA;Dec 13, 2013;Dec 13, 2013;Albuquerque, NM;35.113;-106.621
3010;Blue Circles;MDMA;Dec 13, 2013;Dec 13, 2013;Melrose Park, IL;41.9;-87.856
3015;Super Mario;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;37.774;-122.419
3016;Gucci;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;37.774;-122.419
3017;Airplane;TFMPP;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;37.774;-122.419
3018;White Puma;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;37.774;-122.419
3019;Gucci;Caffeine;Dec 24, 2013;Dec 24, 2013;San Francisco, CA;37.774;-122.419
3022;Green Rolex;Caffeine/MDMA;Dec 24, 2013;Dec 24, 2013;Switzerland;46.818;8.227
3024;Yellow Tablet;Tadalafil;Jan 07, 2014;Jan 07, 2014;Montreal, Quebec, Canada;45.501;-73.567
3026;White Tablet;Palmitic Acid;Jan 07, 2014;Jan 07, 2014;Richmond, VA;37.54;-77.436
3031;Red Mitsubishi;Caffeine/Methamphetamine;Jan 07, 2014;Jan 07, 2014;San Francisco, CA;37.774;-122.419
3032;White Lightning Bolt;MDA/Caffeine;Jan 07, 2014;Jan 07, 2014;San Francisco, CA;37.774;-122.419
3033;Triangles;MDMA;Jul 01, 2015;Jul 01, 2015;Los Angeles, CA;34.052;-118.243
3034;Playboy;MDMA/Caffeine;Jan 17, 2014;Jan 17, 2014;Zurich, Switzerland;46.818;8.227
3037;Monopoly Guy;TFMPP/Lidocaine/Dibenzylpiperazine;Jan 22, 2014;Jan 22, 2014;San Francisco, CA;37.774;-122.419
3038;Honda;TFMPP/Lidocaine/Dibenzylpiperazine/Methamphetamine;Jan 22, 2014;Jan 22, 2014;San Francisco, CA;37.774;-122.419
